Id;VocabularyId;Ordinal;English
1;1;1;a. When Roy abandoned his family, the police went looking for him.
2;1;2;b. The soldier could not abandon his friends who were hurt in battle.
3;1;3;c. Because Rose was poor, she had to abandon her idea of going to college.
4;2;1;a. The butcher's keen knife cut through the meat.
5;2;2;b. My dog has a keen sense of smell.
6;2;3;c. Bill's keen mind pleased all his teachers.
7;3;1;a. A detective was hired by the jealous widow to find the boyfriend who had abandoned her.
8;3;2;b. Although my neighbor just bought a new car, I am not jealous of him.
9;3;3;c. Being jealous, Mona would not let her boyfriend dance with any of the cheerleaders.
10;4;1;a. My aunt never hurts anyone's feelings because she always uses tact.
11;4;2;b. By the use of tact, Janet was able to calm her jealous husband.
12;4;3;c. Your friends will admire you if you use tact and thoughtfulness.
13;5;1;a. The President will take the oath of office tomorrow.
14;5;2;b. In court, the witness took an oath that he would tell the whole truth.
15;5;3;c. When Terry discovered that he had been abandoned, he let out an angry oath.
16;6;1;a. Someone is planning to build a house on that vacant lot.
17;6;2;b. I put my coat on that vacant seat.
18;6;3;c. When the landlord broke in, he found that apartment vacant.
19;7;1;a. The fighter had to face many hardships before he became champion.
20;7;2;b. Abe Lincoln was able to overcome one hardship after another.
21;7;3;c. On account of hardship, Bert was let out of the army to take care of his sick mother.
22;8;1;a. The pilot swore a gallant oath to save his buddy.
23;8;2;b. Many gallant knights entered the contest to win the princess.
24;8;3;c. Ed is so gallant that he always gives up his subway seat to a woman.
25;9;1;a. The data about the bank robbery were given to the F.B.I.
26;9;2;b. After studying the data, we were able to finish our report.
27;9;3;c. Unless you are given all the data, you cannot do the math problem.
28;10;1;a. Coming from Alaska, Claude was unaccustomed to Florida's heat.
29;10;2;b. The king was unaccustomed to having people disobey him.
30;10;3;c. Unaccustomed as he was to exercise, Vic quickly became tired.
31;11;1;a. My brother took an oath to remain a bachelor.
32;11;2;b. In the movie, the married man was mistaken for a bachelor.
33;11;3;c. Before the wedding, all his bachelor friends had a party.
34;12;1;a. I am trying to qualify for the job which is now vacant.
35;12;2;b. Since Pauline can't carry a tune, she is sure that she will never qualify for the Girls' Chorus.
36;12;3;"c. You have to be over 5'5"" to qualify as a policeman in our town."
37;13;1;a. When given all the data on the corpse, Columbo was able to solve the murder.
38;13;2;b. The corpse was laid to rest in the vacant coffin.
39;13;3;c. An oath of revenge was sworn over the corpse by his relatives.
40;14;1;a. Tris could not conceal his love for Gloria.
41;14;2;b. Count Dracula concealed the corpse in his castle.
42;14;3;c. The money was so cleverly concealed that we were forced to abandon our search for it.
43;15;1;a. When the weather is so dismal, I sometimes stay in bed all lesson.
44;15;2;b. I am unaccustomed to this dismal climate.
45;15;3;c. As the dismal reports of the election came in, the senator's friends tactfully made no mention of them.
46;16;1;a. It was a great hardship for the men to live through the frigid winter at Valley Forge.
47;16;2;b. The jealous bachelor was treated in a frigid manner by his girlfriend
48;16;3;c. Inside the butcher's freezer the temperature was frigid.
49;17;1;a. Eskimos inhabit the frigid part of Alaska.
50;17;2;b. Because Sidney qualified, he was allowed to inhabit the vacant apartment.
51;17;3;c. Many crimes are committed each year against those who inhabit the slum area of our city.
52;18;1;a. My fingers quickly became numb in the frigid room.
53;18;2;b. A numb feeling came over Mr. Massey as he read the telegram.
54;18;3;c. When the nurse stuck a pin in my numb leg, I felt nothing.
55;19;1;a. The hunter was abandoned by the natives when he described the peril which lay ahead of them.
56;19;2;b. There is great peril in trying to climb the mountain.
57;19;3;c. Our library is filled with stories of perilous adventures.
58;20;1;a. Richard likes to recline in front of the television set.
59;20;2;b. After reclining on her right arm for an hour, Maxine found that it had become numb.
60;20;3;c. My dog's greatest pleasure is to recline by the warm fireplace.
61;21;1;a. The maid shrieked when she discovered the corpse.
62;21;2;b. With a loud shriek, Ronald fled from the room.
63;21;3;c. Facing the peril of the waterfall, the boatman let out a terrible shriek.
64;22;1;a. The sinister plot to cheat the widow was uncovered by the police.
65;22;2;b. When the bank guard spied the sinister-looking customer, he drew his gun.
66;22;3;c. I was frightened by the sinister shadow at the bottom of the stairs.
67;23;1;a. A banana split can tempt me to break my diet.
68;23;2;b. The sight of beautiful Louise tempted the bachelor to change his mind about marriage.
69;23;3;c. Your offer of a job tempts me greatly.
70;24;1;a. I lost a small wager on the Superbowl.
71;24;2;b. After winning the wager, Tex treated everyone to free drinks.
72;24;3;c. It is legal to make a wager in the state of Nevada.
73;25;1;a. The sinister character in the movie wore a typical costume, a dark shirt, loud tie, and tight jacket.
74;25;2;b. The horse ran its typical race, a slow start and a slower finish, and my uncle lost his wager.
75;25;3;c. It was typical of the latecomer to conceal the real cause of his lateness.
76;26;1;a. Studies show that adults need a minimum of six hours sleep.
77;26;2;b. The minimum charge for a telephone, even if no calls are made, is about nine dollars a month.
78;26;3;c. Congress has set a minimum wage for all workers.
79;27;1;a. Chairs which are older than one hundred years are scarce.
80;27;2;b. Because there is little moisture in the desert, trees are scarce.
81;27;3;c. How scarce are good cooks?
82;28;1;a. The annual convention of musicians takes place in Hollywood.
83;28;2;b. The publishers of the encyclopedia put out a book each year called an annual.
84;28;3;c. Plants that live only one year are called annuals.
85;29;1;a. Can you persuade him to give up his bachelor days and get married?
86;29;2;b. No one could persuade the captain to leave the sinking ship.
87;29;3;c. Beth's shriek persuaded Jesse that she was in real danger.
88;30;1;a. The essential items in the cake are flour, sugar, and shortening.
89;30;2;b. It is essential that we follow the road map.
90;30;3;c. Several layers of thin clothing are essential to keeping warm in frigid climates.
91;31;1;a. The colors of the rainbow blend into one another.
92;31;2;b. A careful blend of fine products will result in delicious food.
93;31;3;c. When Jose blends the potatoes together, they come out very smooth.
94;32;1;a. The ship was barely visible through the dense fog.
95;32;2;b. Before the stars are visible, the sky has to become quite dark.
96;32;3;c. You need a powerful lens to make some germs visible.
97;33;1;a. Because diamonds are scarce they are expensive.
98;33;2;b. Margarine is much less expensive than butter.
99;33;3;c. Shirley's expensive dress created a great deal of excitement at the party.
100;34;1;a. Medori's talent was noted when she was in first grade.
101;34;2;b. Feeling that he had the essential talent, Carlos tried out for the school play.
102;34;3;c. Hard work can often make up for a lack of talent.
103;35;1;a. The burglars devised a scheme for entering the bank at night.
104;35;2;b. I would like to devise a method for keeping my toes from becoming numb while I am ice skating.
105;35;3;c. If we could devise a plan for using the abandoned building, we could save thousands of dollars.
106;36;1;a. The wholesale price of milk is six cents a quart lower than retail.
107;36;2;b. Many people were angered by the wholesale slaughter of birds.
108;36;3;c. By buying my ties wholesale I save fifteen dollars a year.
109;37;1;a. Scientists have devised methods for trapping vapor in bottles so they can study its make-up.
110;37;2;b. He has gathered data on the amount of vapor rising from the swamp.
111;37;3;c. A vapor trail is the visible stream of moisture left by the engines of a jet flying at high altitudes.
112;38;1;a. When the railroad tracks are raised, the danger of crossing will be eliminated.
113;38;2;b. When figuring the cost of a car, don't eliminate such extras as air conditioning.
114;38;3;c. If we were to eliminate all reclining chairs, no one would fall asleep while watching television.
115;39;1;a. A typical moving picture villain gets killed at the end.
116;39;2;b. The villain concealed the corpse in the cellar.
117;39;3;c. When the villain fell down the well, everyone lived happily ever after.
118;40;1;a. The dense leaves on the trees let in a minimum of sunlight.
119;40;2;b. We couldn't row because of the dense weeds in the lake.
120;40;3;c. His keen knife cut through the dense jungle.
121;41;1;a. No one seems willing to utilize this vacant house.
122;41;2;b. The gardener was eager to utilize different flowers and blend them in order to beautify the borders.
123;41;3;c. Does your mother utilize leftovers in her cooking?
124;42;1;a. It was so humid in our classroom that we wished the school would buy an air conditioner.
125;42;2;b. New Yorkers usually complain in the summer of the humid air.
126;42;3;c. Most people believe that ocean air is quite humid.
127;43;1;a. Einstein's theory is really too difficult for the average person to understand.
128;43;2;b. My uncle has a theory about the effect of weather on baseball batters.
129;43;3;c. No one has advanced a theory explaining the beginnings of writing.
130;44;1;a. If we let the air out of a balloon, it will have to descend.
131;44;2;b. The pilot, thinking his plane was in peril, descended quickly.
132;44;3;c. Knowing her beau was waiting at the bottom of the staircase, Eleanor descended at once.
133;45;1;a. A fan may circulate the air in summer, but it doesn't cool it.
134;45;2;b. My father circulated among the guests at the party and made them feel comfortable.
135;45;3;c. Hot water circulates through the pipes in the building, keeping the room warm.
136;46;1;a. The enormous crab moved across the ocean floor in search of food.
137;46;2;b. Public hangings once drew enormous crowds.
138;46;3;c. The gallant knight drew his sword and killed the enormous dragon.
139;47;1;a. Weathermen can predict the weather correctly most of the time.
140;47;2;b. Who can predict the winner of the Superbowl this year?
141;47;3;c. Laura thought she could predict what I would do, but she was wrong.
142;48;1;a. Even in California the sun will sometimes vanish behind a cloud.
143;48;2;b. Not even a powerful witch can make a jealous lover vanish.
144;48;3;c. Give him a week without a job and all his money will vanish.
145;49;1;a. The father tried to persuade his son that the tradition of marriage was important.
146;49;2;b. All religions have different beliefs and traditions.
147;49;3;c. As time goes on, we will eliminate traditions which are meaningless.
148;50;1;a. Tomatoes are less expensive at the rural farm stand.
149;50;2;b. Rural areas are not densely populated.
150;50;3;c. The rural life is much more peaceful than the city one.
151;51;1;a. The burden of the country's safety is in the hands of the President.
152;51;2;b. Irma found the enormous box too much of a burden.
153;51;3;c. Ricky carried the burden throughout his college career.
154;52;1;a. The campus was designed to utilize all of the college's buildings.
155;52;2;b. Jeff moved off campus when he decided it was cheaper to live at home.
156;52;3;c. I chose to go to Penn State because it has a beautiful campus.
157;53;1;a. A majority of votes was needed for the bill to pass.
158;53;2;b. The majority of people prefer to pay wholesale prices for meat.
159;53;3;c. In some countries, the government does not speak for the majority of the people.
160;54;1;a. The rioters assembled outside the White House.
161;54;2;b. I am going to assemble a model of a spacecraft.
162;54;3;c. All the people who had assembled for the picnic vanished when the rain began to fall.
163;55;1;a. Lawyer Spence explored the essential reasons for the crime.
164;55;2;b. The Weather Bureau explored the effects of the rainy weather.
165;55;3;c. Sara wanted to know if all of the methods for solving the problem had been explored.
166;56;1;a. Predicting the weather is our favorite topic of conversation.
167;56;2;b. Valerie only discussed topics that she knew well.
168;56;3;c. The speaker's main topic was how to eliminate hunger in this world.
169;57;1;a. The debate between the two candidates was heated.
170;57;2;b. Debate in the U.S. Senate lasted for five days.
171;57;3;c. Instead of shrieking at each other, the students decided to have a debate on the topic.
172;58;1;a. Juan tried to evade the topic by changing the subject.
173;58;2;b. In order to evade the police dragnet, Ernie grew a beard.
174;58;3;c. The prisoner of war evaded questioning by pretending to be sick.
175;59;1;a. The lawyer probed the man's mind to see if he was innocent.
176;59;2;b. After probing the scientist's theory, we proved it was correct.
177;59;3;c. King Henry's actions were carefully probed by the noblemen.
178;60;1;a. After the prison riot, the council decided to reform the correctional system.
179;60;2;b. Brad reformed when he saw that breaking the law was hurting people other than himself.
180;60;3;c. Only laws that force companies to reform will clear the dangerous vapors from our air.
181;61;1;a. The lawyers in the Simpson trial were often asked to approach the bench.
182;61;2;b. Her beau kissed Sylvia when he approached her.
183;61;3;c. Ben approached the burden of getting a job with a new spirit.
184;62;1;a. Sam Spade detected that the important papers had vanished.
185;62;2;b. From her voice it was easy to detect that Ellen was frightened.
186;62;3;c. We detected from the messy room that a large group of people had assembled there.
187;63;1;a. Call me tomorrow evening if possible.
